GRIDCODE	CVE_ENTCVE_MUN		Area VEGxCELDA
700065	2001	0.00014107	315414.8844
700066	2001	0.000150183	335789.9261
700071	2001	4.61846E-05	103262.8268
700072	2001	0.000162853	364118.7508
701124	2001	0.000382564	855364.0365
701125	2001	0.000997101	2229388.497
701130	2001	0.000295755	661269.9373
701131	2001	0.001568063	3505987.187
701132	2001	8.02345E-05	179393.8903
702187	2001	8.56468E-05	191495.2067
702188	2001	0.001806858	4039900.422
702189	2001	0.00389625	8711510.855
702190	2001	0.000600531	1342709.237
702191	2001	0.002306122	5156190.665
703247	2001	0.000585349	1308764.103
703248	2001	0.000369731	826671.352
703250	2001	6.39999E-05	143095.5698
702191	2003	0.000132871	13344.50539
703248	2003	0.000853037	85672.22842
703250	2003	0.004691388	471165.3495
706422	2003	7.67833E-06	771.1503504
706423	2003	0.028738509	2886265.342
707481	2003	0.001437659	144386.9573
707482	2003	0.01433849	1440042.967
708540	2003	0.039815672	3998766.726
708541	2003	0.003578004	359346.0107
708542	2003	0.033328028	3347199.796
708543	2003	0.038172887	3833778.609
709598	2003	0.025862913	2597463.547
709599	2003	0.028204067	2832590.315
709601	2003	0.025087351	2519572.313
709602	2003	0.068140775	6843512.935
710657	2003	0.021190825	2128236.469
710658	2003	0.004279459	429794.5495
710661	2003	2.14193E-06	215.117955
712777	2003	0.017798184	1787506.892
712778	2003	0.025082245	2519059.565
712779	2003	0.017763379	1784011.287
713836	2003	0.006098546	612489.0308
713837	2003	0.02705656	2717343.923
713838	2003	0.003671898	368776.0264
714895	2003	0.001865549	187360.7336
714896	2003	0.011261101	1130974.617
714897	2003	0.015125975	1519131.661
714898	2003	0.043502769	4369069.173
714899	2003	0.018127785	1820609.347
715954	2003	0.011176733	1122501.398
715955	2003	0.043238618	4342539.976
715956	2003	0.029920782	3005003.326
715957	2003	0.026936095	2705245.304
715958	2003	0.010763444	1080994.026
701125	2004	0.000389984	77477.45196
702187	2004	0.001135374	225562.7406
702188	2004	0.000243035	48283.34208
703246	2004	0.020302152	4033390.748
703247	2004	0.013333778	2648996.804
703248	2004	0.002074727	412182.1983
706422	2004	0.009259749	1839617.216
706423	2004	0.006407748	1273015.373
707473	2004	0.002066259	410499.896
707474	2004	0.017323437	3441615.025
707479	2004	0.00788702	1566899.682
707480	2004	0.013066821	2595961.05
707481	2004	0.031297944	6217904.252
707482	2004	0.000964272	191570.1529
708532	2004	0.01313422	2609351.002
708533	2004	0.011176475	2220409.413
708538	2004	0.005511329	1094925.443
708539	2004	0.033265381	6608771.317
708540	2004	0.021524742	4276280.485
709588	2004	0.007891987	1567886.305
709589	2004	0.029140937	5789375.824
709590	2004	0.000552671	109798.0548
709591	2004	0.009180726	1823917.751
709597	2004	0.010110773	2008688.451
709598	2004	0.031451307	6248372.782
709599	2004	0.000206162	40957.78712
710645	2004	7.30853E-05	14519.72043
710646	2004	0.003499575	695254.1478
710647	2004	0.031523281	6262671.553
710648	2004	0.036571999	7265690.977
710649	2004	0.019463258	3866729.38
710650	2004	0.001007397	200137.6841
710651	2004	0.006236154	1238925.215
710656	2004	0.00021694	43099.059
710657	2004	0.007182072	1426848.799
711703	2004	0.006626568	1316487.991
711704	2004	0.032973607	6550805.142
711705	2004	0.043404812	8623153.268
711706	2004	0.02882278	5726168.194
711707	2004	0.00204129	405539.2319
711708	2004	0.008105364	1610277.501
711709	2004	0.020879274	4148046.55
711710	2004	0.03629087	7209839.714
711711	2004	0.027154773	5394788.257
711712	2004	0.009495367	1886426.995
711713	2004	0.014558714	2892352.572
711714	2004	0.012110357	2405942.184
711715	2004	0.00084823	168516.3303
712762	2004	0.008925318	1773176.375
712763	2004	0.041212783	8187666.904
712764	2004	0.017579082	3492403.585
712765	2004	0.002028903	403078.3266
712768	2004	0.008055053	1600282.43
712769	2004	0.023378154	4644494.345
712770	2004	0.041986629	8341405.508
712771	2004	0.020468021	4066343.587
712772	2004	0.035851437	7122538.266
712773	2004	0.031811537	6319939.004
712774	2004	0.01472462	2925312.847
713821	2004	0.003489129	693178.7244
713822	2004	0.01058885	2103667.095
713828	2004	0.019341756	3842590.612
713829	2004	0.027360944	5435747.9
713830	2004	0.007715965	1532916.442
713831	2004	0.001194304	237270.2275
713832	2004	0.018197717	3615306.529
713833	2004	0.014635453	2907598.257
714887	2004	0.003464549	688295.6074
714891	2004	5.0202E-06	997.3532424
701124	2005	0.014837112	1800788.039
701125	2005	0.004061141	492902.8605
702176	2005	0.004436569	538468.7211
702177	2005	0.001030494	125071.6497
702178	2005	0.009424763	1143888.453
703235	2005	0.005583874	677717.7152
703236	2005	0.06149238	7463362.375
703237	2005	0.035986162	4367659.283
704293	2005	0.007690595	933411.5214
704294	2005	0.053065387	6440573.817
704295	2005	0.048566608	5894554.578
705351	2005	0.035047019	4253675.046
705352	2005	0.065206266	7914118.561
705353	2005	0.008287171	1005818.274
705354	2005	0.001705594	207008.7798
706409	2005	0.001737394	210868.4759
706410	2005	0.068448534	8307634.377
706411	2005	0.05774096	7008050.472
707468	2005	0.000465479	56495.45714
707469	2005	0.046546596	5649384.674
707470	2005	0.025891996	3142525.07
708527	2005	0.026550175	3222408.585
708528	2005	0.074058706	8988543.876
708529	2005	0.055339627	6716599.488
708530	2005	0.008529273	1035202.32
709585	2005	0.007605208	923048.0409
709586	2005	0.013321946	1616891.51
709587	2005	0.049078998	5956743.642
709588	2005	0.026428609	3207654.151
709589	2005	0.010487335	1272853.352
710644	2005	0.008866959	1076187.484
710645	2005	0.020244517	2457087.562
710646	2005	0.060811745	7380753.255
710647	2005	0.01566197	1900901.49
711703	2005	0.001859658	225707.6493
711704	2005	0.016313251	1979947.785
711705	2005	0.001974449	239639.8609
