GRIDCODE,CVENTMUN,LONG_VIALIDADES TOTAL x SENTIDO x MUNICIPIO (m),LONG VIALIDAD x SENTIDO x CELDA
703246,02004,10324921.72,11625.67235
709589,02004,10324921.72,70750.08663
709590,02004,10324921.72,28659.521
709596,02004,10324921.72,27030.95199
710646,02004,10324921.72,2295.566547
710647,02004,10324921.72,40110.00762
710648,02004,10324921.72,143883.6363
710649,02004,10324921.72,29368.21493
710650,02004,10324921.72,3018.765499
710651,02004,10324921.72,1253.377873
711702,02004,10324921.72,6.141499262
711703,02004,10324921.72,60437.62671
711704,02004,10324921.72,89663.80697
711705,02004,10324921.72,176004.7686
711706,02004,10324921.72,148916.9092
711707,02004,10324921.72,190009.3922
711708,02004,10324921.72,75909.57937
711709,02004,10324921.72,21332.96016
711710,02004,10324921.72,11320.74553
711711,02004,10324921.72,14907.42311
711715,02004,10324921.72,13.15464274
711716,02004,10324921.72,31489.47576
712761,02004,10324921.72,10951.93673
712762,02004,10324921.72,13201.25336
712763,02004,10324921.72,146120.6052
712764,02004,10324921.72,119284.5878
712765,02004,10324921.72,261466.669
712766,02004,10324921.72,326418.036
712767,02004,10324921.72,269576.0755
712768,02004,10324921.72,233715.5658
712769,02004,10324921.72,305686.9494
712770,02004,10324921.72,271225.6181
712771,02004,10324921.72,182926.9327
712772,02004,10324921.72,64159.82979
712773,02004,10324921.72,2906.258516
712774,02004,10324921.72,3423.449417
712775,02004,10324921.72,1162.127016
713820,02004,10324921.72,10544.33585
713821,02004,10324921.72,116328.9255
713822,02004,10324921.72,183105.436
713823,02004,10324921.72,292591.907
713824,02004,10324921.72,308242.4398
713825,02004,10324921.72,354115.714
713826,02004,10324921.72,216425.1843
713827,02004,10324921.72,261116.9853
713828,02004,10324921.72,429847.6652
713829,02004,10324921.72,235335.5695
713830,02004,10324921.72,85687.3216
713831,02004,10324921.72,25362.83355
713832,02004,10324921.72,100861.925
713833,02004,10324921.72,3077.664379
713834,02004,10324921.72,584.4560574
714879,02004,10324921.72,72946.71845
714880,02004,10324921.72,215523.6503
714881,02004,10324921.72,369056.9119
714882,02004,10324921.72,323230.4575
714883,02004,10324921.72,266129.2413
714884,02004,10324921.72,240241.9627
714885,02004,10324921.72,241562.2853
714886,02004,10324921.72,290524.4991
714887,02004,10324921.72,325677.0897
714888,02004,10324921.72,175747.753
714889,02004,10324921.72,3106.470586
714890,02004,10324921.72,7528.500993
714891,02004,10324921.72,3705.364807
715938,02004,10324921.72,106298.9913
715939,02004,10324921.72,238467.1758
715940,02004,10324921.72,300717.4236
715941,02004,10324921.72,223751.0037
715942,02004,10324921.72,296517.2033
715943,02004,10324921.72,117367.5133
715944,02004,10324921.72,177764.2548
715945,02004,10324921.72,167627.8136
715946,02004,10324921.72,147967.3982